met	（meet的过去式）碰上，遇见
above	在……上方，在……之上
ground	地面
those	那些
ice cream	冰激凌
us	（宾格）我们
finish	吃完，喝完，用尽
wait	等待，等候
hurry	赶紧，匆忙
hurry up	赶紧，赶快
dropped	（drop的过去式）（无意中）使掉落
send	发送，寄
email	电子邮件
ran	（run的过去式）跑
love	爱你的
list	清单
er	哦，嗯，呃
need	需要
first	首先，第一；最先的，第一（次）的
can	可以
lost	（lose的过去式）丢失
how much	多少
cheese	奶酪
any	一些，一点，若干
use	使用
over there	在那边
bottle	瓶子；一瓶的容量
half	一半
kilo	千克
a lot of	许多的
weekend	周末
place	地方
British	英国的，英国人的；英国人
museum	博物馆
how	如何，怎样
best	最
took	（take的过去式）搭乘，乘坐（交通工具）；需要花费（一定时间）
trip	旅行，旅程
along	沿着
river	河，江
hour	小时
twenty	二十
minute	分钟
of	关于……的，表明……的
wall	墙，城墙
arrive	到达
for	达，计
mountain	山
with	拥有，具有
plant	植物
pair	一套，一双，一副
shorts	（常复）短裤
argue	争论，争吵
matter	问题，麻烦
What's the matter?	怎么啦？
took	（take的过去式）拿（走），取（走）
wear	穿
That's OK.	没关系
sports	体育运动的，体育运动用的
hey	嘿，喂
nineteen	十九
crayon	蜡笔
fifteen	十五
begin	开始
give out	分发
all right	好，行
thirteen	十三
fourteen	十四
sixteen	十六
seventeen	十七
eighteen	十八
floor	地面，地板
forty	四十
number	数字
thirty	三十
fifty	五十
sixty	六十
seventy	七十
eighty	八十
ninety	九十
happily	幸福地，愉快地
many	许多，很多
well	好，熟练地
team	运动队，球队
really	很，非常
good at	擅长
catch	抓住，接住
goalkeeper	守门员
think	想，认为
fantastic	极好的
fan	狂热仰慕者，迷
past	过去
swam	（swim的过去式）游泳
slow	慢的
healthy	健康的
a lot	许多，大量
useful	有用的
show	（电视或广播）节目
presenter	（电视或广播节目的）主持人
blind	失明的，瞎的
deaf	失聪的，聋的
hear	听到
her	（宾格）她
fire	火灾，失火
firefighter	消防队员
hot dog	热狗
sausage	香肠
kind	友好的，善意的，体贴的
time	时刻，时候，时间
school	上课时间；上学时间
start	开始，发生
past	晚于，过（几点）
late	迟到的
go to bed	上床睡觉
exercise	运动，锻炼
playground	操场
before	在……之前
join	加入，参加
skipping rope	跳绳
coffee	咖啡
tea	茶
always	总是，一直
bell	钟，铃
rang	（ring的过去式）鸣，响
into	进入……里面
feel	感觉，觉得
bored	厌烦的，厌倦的
sad	伤心的，难过的
woof	（狗发出的）吠声
miss	想念
angry	生气的，愤怒的
ill	有病的，不健康的
told	（tell的过去式）告诉
better	痊愈的，恢复健康的
farm	农场
tired	累的，疲劳的
won	(win的过去式）赢，获胜
ruler	直尺
smell	闻出，嗅出
kitchen	厨房
toilet	厕所，卫生间
room	房间
living room	起居室，客厅
hide-and-seek	捉迷藏
now	好，哦
last	最后
hide	躲，躲藏
sofa	沙发
shout	呼喊，大叫
grass	草，草地
baby	婴儿
dangerous	危险的
any	任一的，每一的
anything	任何东西，任何事情
at all	根本
bake	烘，烤，焙
best of all	最好地
clap	拍手，鼓掌
feet	（foot的复数形式）脚
frog	青蛙
in a row	成一长排，成一行
kangaroo	袋鼠
lost	丢失的
lovely	令人愉快的，美好的
low	在（或向）低位置
moon	月亮；月球
ready	准备好的
get ready	做好准备
round	成圆圈地，围绕地
said	（say的过去式）说
show	表露，表现出
speak	说，讲
stamp	跺脚，用力踩
word	词，单词；字
Billy	比利
John	约翰
Susan	苏珊
British Museum	大英博物馆
London Eye	伦敦眼
London Town	伦敦城（伦敦的别称）
Marling Street	马林街
the Bridge	特指伦敦桥
the Huangpu River	黄浦江
