still	还，仍然
programme	（电视或广播）节目
lady	女士，夫人
life	生活
different	不同的
ago	以前
interviewer	采访者
enough	足够的
television	电视
grandchildren	（grandchild的复数形式）（外）孙子；（外）孙女
change	改变，变化
night	夜晚，夜间
work	工作；劳动；干活儿
field	田地
fire	火，炉火
or	（用于否定句中）也不，也没
radio	收音机
telephone	电话
couldn't=could not	不能
write	写
hope	希望
learnt	（learn的过去式）学习
taught	（teach的过去式）教，讲授
language	语言
wrote	（write的过去式）写
dancer	舞蹈演员
foreigh	外国的
studied	（study的过去式）学习
hard	努力地
hamburger	汉堡包
English	英国（式）的
breakfast	早餐，早饭
lunch	午餐，午饭
sandwich	三明治
fish and chips	炸鱼加炸薯条
traditional	传统的
dish	食品；菜肴
very much	很，非常
gave	（give的过去式）给
tonight	今夜，今晚
library	图书馆
student	学生
sent	（send的过去式）发送，寄
CD	激光唱片，光盘
idea	主意，想法
put	放，安放
shelf	架子
heavy	重的，沉的
dictionary	词典；字典
card	卡片
library card	图书卡，借书证
ask	邀请
wrong	错误的
dear	哎呀
information	信息
e-book	电子书
project	项目
guide	介绍，指南，手册
film	电影
as well	又，还，也
way	方法，方式
on	关于
topic	话题
light	轻的
hard	困难的，费力的
broken	坏的，破的
department store	百货商店
pocket	口袋，兜
umbrella	雨伞
sales assistant	售货员，营业员
wheel	轮子
easy	容易的，不费力的
take	选择要；选择购买
too	太，过于
try	试，尝试
lovely	美丽的，可爱的；令人愉快的
moon	月亮，月球
get	到达
west	西，西部，西方；向西方
parent	母亲；父亲；家长
stay	停留
July	七月
south	南，南部，南方；向南方
remember	记得
June	六月
east	东，东部，东方；向东方
best	最好的
north	北，北部，北方；向北方
rest	休息
have a rest	休息一下
rode	（ride的过去式）骑
evening	傍晚，晚上
late	近日暮的；近深夜的；时间不早的
worker	工人
factory	制造厂；工厂
early	早的
taxi	出租车，计程车
quarter	一刻钟
to	（距整点）差……
worry	焦虑，担心
paper	纸
Chinese	中国人的
so	如此，这样
word	词，字
drew	（draw的过去式）画
cut	（cut的过去式）剪，切，割
piece	张，片，块
paint	（用颜料）绘画，着色
put	（put的过去式）放，安放
stick	小木棍，小木条
tied	（tie的过去式）扎上，系上
string	线，绳子
laugh	笑
wore	（wear的过去式）穿
letter	信，书信
theatre	剧院
women	（woman的复数形式）女性，妇女
actor	演员
told	（tell的过去式）口述，讲（故事等）
joke	笑话
after	在……后
show	（尤指剧院的）演出，表演
restaurant	饭店，餐馆
ready	准备好的
borrow	借入，借来
read	（read的过去式）读
at all	一点都
in	在（将来一段时间）之后
another	另一个
history	历史
ask	问，询问
question	问题
forget	忘，忘记
bring	带来，拿来
soon	不久，很快
when	在什么时候
end	结束，终止
nervous	紧张的，情绪不安的
all right	没事，没问题
airport	机场
ticket	票
passport	护照
safe	安全的，平安的
pet	宠物
speak	说，讲
building	建筑物
American	美国的；美国人的；美国人
find out	发现，弄清
more	更多的（量），较多的（量）
again and again	一次又一次，一次次
away	离……有一定距离
cloud	云，云雾
different from	与……不同，不同于
drive	驾驶，驾车
exciting	令人激动的，使人兴奋的
jam	果酱
leaves	（leaf的复数形式）叶子，树叶
map	地图
newspaper	报纸
nobody	没有人
on foot	步行
pass by	经过
pass through	经过，路过
postman	邮递员
right	正确的；合适的
shake	摇动，抖动
toast	烤面包，吐司
understand	懂得，明白
way	路程，距离
wherever	无论什么地方
wind	风
world	世界
Mary	玛丽
Simon	西蒙
Australia	澳大利亚
Disneyland	迪斯尼乐园
Spain	西班牙
Tianchi Lake	天山天池
Tianshan Mountains	天山山脉
