straight	直地；直线地
go straight on	直着走
left	左边；向左；左边的
right	右边；向右；右边的
lost	迷路的
live	居住
No.	（number的缩写）第……号
street	大街，街道
excuse me	对不起，打扰一下
turn left	向左转
turn right	向右转
next to	紧靠……旁边，贴近
supermarket	超市
beside	在……旁边，在……附近
cinema	电影院
so much	十分，非常
You're welcome!	不客气！
station	车站
train	火车
hill	小山
near	接近，临近
house	房屋
read	读，阅读
running	跑步
these	这些
picture	照片
take	拍摄
take pictures	照相
children	（child的复数形式）孩子们
listen	听
listen to	听
talk	说话，交谈
talk to	和……交谈
China	中国
kid	孩子
get on	上（车）
can	能够，会
see	看到
lots of	许多
interesting	有趣的
thing	东西，物品；事情
people	人，人们
row	划（船）
dragon	龙
boat	船
dragon boat	龙舟
men	（man的复数形式）男人
between	在……之间，在中间
chess	国际象棋
play chess	下国际象棋
drink	喝，饮
soya milk	豆浆
clock	钟
hungry	饥饿的
Me too.	我也一样。
draw	画
jump	跳
sing	唱歌
dance	跳舞
want	想要
some	一些
juice	果汁
ice	冰，冰块
also	也，还
food	食物
fast food	快餐
make	制作
tomato	番茄，西红柿
egg	鸡蛋
potato	马铃薯，土豆
How much...?	……多少钱？
flower	花
dumpling	水饺
help	帮助，帮忙
buy	买
run	跑，奔跑
fast	快，快速地
sky	天，天空
high	高高地
winner	获胜者
far	远
afraid	恐怕
strong	健壮的
star	明星
sweets	（常复）糖果
soup	汤
sorry	抱歉，对不起
bread	面包
dark	黑暗的
well	（语气词））唔，噢
turn on	打开
light	灯
Halloween	万圣节前夕
trick or treat	不请吃就捣蛋
give	给
come in	进来
of course	当然
there is	有，存在
horse	马
there are	有，存在
have a look	看一看
sheep	羊，绵羊
vegetable	蔬菜
climb	爬，攀爬
face	脸，面孔
fruit	水果
chicken	鸡
bear	熊
pig	猪
visit	参观，访问
tomorrow	明天
plane	飞机
get up	起床
o'clock	……点钟
from	从……来，来自
sea	大海
swimsuit	游泳衣
sock	短袜
fish	钓鱼
hooray	（表示激动与高兴的呼喊声）好，好哇
sports day	运动日
win	胜利，取胜
month	月
hundred	一百（100）
metre	米（长度单位）
every	每个，每一
day	一天，一日
luck	运气
good luck	祝你好运
come on	加油
high jump	跳高
long jump	跳远
How about...?	……怎么样？
subject	学科，科目
family	家，家庭
dinner	晚餐，正餐
year	年份
New Year	新年
Chinese	中国的
festival	节日
the Spring Festival	春节
I see.	我明白了。
peanut	花生
merry	愉快的
Christmas	圣诞节
Merry Christmas!	圣诞快乐！
accidentally	意外地
all right	令人满意地，还不错地
as...as	尽可能……的
dream	梦
fall	下落，跌落
gently	慢慢地，轻柔地
homework	家庭作业
letter	信，书信
life	生活
march	齐步行进
merrily	愉快地，欢乐地
night	夜晚，夜间
pan	平底锅，烤盘
parrot	鹦鹉
stream	小溪
together	共同，一起
train	培训，训练
wish	祝愿
write	写，书写
Lily	莉莉
UK	英国
