look 	 看上去
cashier 	 收银员
cola 	 可乐
dollar 	 美元
cent 	 美分
enjoy 	 享用,享受
careful 	 小心的
Be careful  	 当心
later 	 后来,以后
to go	剩余
duck 	 鸭子
pond 	 水池,池塘
cloud 	 云
dry 	 干的
like 	 像......一样
look like 	 看来好像
stay 	 保持,维持
shine 	  (太阳)发光,照耀
cry 	 哭
everyone 	 人人,每人;大家
fly away 	 飞走
just 	 就,且请
cow 	 奶牛
blow 	 吹,刮
rabbit 	 兔子
balloon 	 气球
stairs 	  (常复)楼梯
mess 	 肮脏;凌乱
play 	 演奏
third 	 第三(个)
time 	 次,回
bark 	  (狗)吠,叫
loudly 	 大声地
nothing 	 没有东西,没有事情
home 	 回家
got 	  (get的过去式)得到,收到
space 	 太空
interested 	 感兴趣
spaceship 	 宇宙飞船
finish 	 结束,完成
decide 	 决定
paper 	 纸做的,纸质的
brought 	(bring的过去式)拿来,带来
bring back 	 带回
model 	 模型
taikonaut	(中国的)太空人,宇航员
first 	 最初(的),第一次(的)
national 	 国家的,民族的
seed 	 种子
spent 	  (spend的过去式)度过
about 	 大约
flew 	  (flow的过去式)飞,飞行
October 	 十月
video 	 录像
proud 	 感到自豪的,感到骄傲的
someday 	 有朝一日
born 	 出生,诞生
as 	 作为
became 	(become的过去式)变成
letter 	 字母
spell 	 拼写,拼出
herself  	 她自己
all over  	 到处,遍处,处处
live 	 活着
role model 	 模范;榜样
cup 	 杯子
planned 	  (plan的过去式)计划
baseball 	 棒球
more 	 更强烈地
smile 	 微笑
mistake 	 错误
make mistakes	犯错误
with 	 与......有关
said 	  (say的过去式)说
raincoat 	 雨衣
wish 	 愿望,希望;祝,祝愿
best wishes 	 最美好的祝愿
primary 	 小学的,初等的
primary school	小学
message 	 留言
keep 	 保留
forever 	 永远
joy 	 乐事,乐趣
future 	 将来,未来
wonderful 	 了不起的,出色的
happiness 	 幸福,愉快
what 	 多么
middle	 中间的,中等的;中期,中间
middle school	中学
speech 	 演说,讲演
classmate 	 同班同学
leave 	 离开
September 	 九月
excited 	 激动的,兴奋的
geography 	 地理
same 	 相同的
said     	(say的过去式)说
at the same time	同时
spoke	(speak的过去式)说(某种语言)
little	极少量的
keep on  	保持
practise 	 练习
sometime 	 某个时候
each other 	 互相,彼此
chemistry 	 化学
physics 	 物理
